point_id,scan_order,actual_capture_order,point_start_utc,pre_guard_start,pre_guard_end,goto_command_utc,motion_start_utc,motion_end_utc,first_convergence_utc,hit1_utc,hit2_utc,goto_return_utc,post_guard_start,post_guard_end,tracking_start,tracking_confirmed,post_tracking_guard_start,post_tracking_guard_end,settle_start,settle_end,flush_start,flush_end,capture_start,capture_end,disk_write_start,disk_write_end,validation_start,validation_end,rename_start,rename_end,persist_start,persist_end,point_complete_utc,next_point_start_utc,baseline_eod_seq,first_post_command_eod_seq,hit1_seq,hit2_seq,command_to_motion_start_sec,physical_motion_sec,motion_end_to_goto_return_sec,goto_total_sec,pre_guard_sec,post_guard_sec,tracking_sec,post_tracking_guard_sec,settle_sec,flush_sec,capture_sec,disk_hdf5_sec,persist_sec,inter_point_delay_sec,other_sec,point_total_sec,capture_disk_combined
1,1,1,2026-08-28T04:18:11.392+00:00,2026-08-28T04:18:11.394+00:00,2026-08-28T04:18:11.773+00:00,2026-08-28T04:18:12.639+00:00,2026-08-28T04:18:13.234+00:00,2026-08-28T04:18:41.628+00:00,2026-08-28T04:18:41.628+00:00,2026-08-28T04:18:41.628+00:00,2026-08-28T04:18:41.729+00:00,2026-08-28T04:18:42.351+00:00,2026-08-28T04:18:42.351+00:00,2026-08-28T04:18:43.877+00:00,2026-08-28T04:18:43.878+00:00,2026-08-28T04:18:45.339+00:00,2026-08-28T04:18:45.339+00:00,2026-08-28T04:18:45.766+00:00,2026-08-28T04:18:46.130+00:00,2026-08-28T04:18:47.131+00:00,2026-08-28T04:18:47.131+00:00,2026-08-28T04:18:47.131+00:00,2026-08-28T04:18:47.133+00:00,2026-08-28T04:18:57.167+00:00,2026-08-28T04:18:57.167+00:00,2026-08-28T04:18:58.977+00:00,N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),2026-08-28T04:18:58.981+00:00,2026-08-28T04:18:58.983+00:00,2026-08-28T04:18:58.983+00:00,2026-08-28T04:18:58.996+00:00,6,7,285,286,0.5943507369956933,28.393835387018044,0.7236908110207878,30.21428570599528,0.37916299497010186,1.5260429839836434,1.4605324770091102,0.42722943995613605,1.000829213007819,0.00019381404854357243,10.034414537949488,1.8098038640455343,0.0031729339971207082,0.0,0.7352358340285718,47.59090379899135,False
2,2,2,2026-08-28T04:18:58.996+00:00,2026-08-28T04:18:58.999+00:00,2026-08-28T04:18:59.001+00:00,2026-08-28T04:18:59.856+00:00,2026-08-28T04:19:00.449+00:00,2026-08-28T04:19:12.741+00:00,2026-08-28T04:19:06.968+00:00,2026-08-28T04:19:06.968+00:00,2026-08-28T04:19:07.070+00:00,2026-08-28T04:19:12.743+00:00,2026-08-28T04:19:12.743+00:00,2026-08-28T04:19:14.089+00:00,2026-08-28T04:19:14.090+00:00,2026-08-28T04:19:14.453+00:00,2026-08-28T04:19:14.453+00:00,2026-08-28T04:19:15.978+00:00,2026-08-28T04:19:16.342+00:00,2026-08-28T04:19:17.343+00:00,2026-08-28T04:19:17.343+00:00,2026-08-28T04:19:17.344+00:00,2026-08-28T04:19:17.346+00:00,2026-08-28T04:19:27.369+00:00,2026-08-28T04:19:27.369+00:00,2026-08-28T04:19:29.175+00:00,N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),2026-08-28T04:19:29.177+00:00,2026-08-28T04:19:29.180+00:00,2026-08-28T04:19:29.180+00:00,2026-08-28T04:19:29.192+00:00,314,315,377,378,0.5933589469641447,12.291850387991872,0.001592514046933502,13.389177787001245,0.0013346439809538424,1.3461819980293512,0.3625879710307345,1.5256354070152156,1.0010158160002902,0.0005277390009723604,10.023086273053195,1.8061842359602451,0.0038990999455563724,0.012734589050523937,0.7239404279389419,30.1835713989567,False
3,3,3,2026-08-28T04:19:29.192+00:00,2026-08-28T04:19:29.195+00:00,2026-08-28T04:19:29.200+00:00,2026-08-28T04:19:30.068+00:00,2026-08-28T04:19:30.659+00:00,2026-08-28T04:19:42.940+00:00,2026-08-28T04:19:37.197+00:00,2026-08-28T04:19:37.197+00:00,2026-08-28T04:19:37.303+00:00,2026-08-28T04:19:42.946+00:00,2026-08-28T04:19:42.946+00:00,2026-08-28T04:19:44.302+00:00,2026-08-28T04:19:44.305+00:00,2026-08-28T04:19:44.665+00:00,2026-08-28T04:19:44.666+00:00,2026-08-28T04:19:46.192+00:00,2026-08-28T04:19:46.555+00:00,2026-08-28T04:19:47.562+00:00,2026-08-28T04:19:47.562+00:00,2026-08-28T04:19:47.563+00:00,2026-08-28T04:19:47.567+00:00,2026-08-28T04:19:57.630+00:00,2026-08-28T04:19:57.630+00:00,2026-08-28T04:19:59.514+00:00,N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),2026-08-28T04:19:59.518+00:00,2026-08-28T04:19:59.527+00:00,2026-08-28T04:19:59.538+00:00,2026-08-28T04:19:59.573+00:00,449,450,512,513,0.5913753650384024,12.280814026948065,0.005767948052380234,13.382086523983162,0.004825283016543835,1.3557903250330128,0.3601052680169232,1.5262380390195176,1.0038185570156202,0.0009584969957359135,10.06260340596782,1.883806049998384,0.010905860981438309,0.011786373041104525,0.7438580119633116,30.33499582199147,False
6,4,4,2026-08-28T04:19:59.573+00:00,2026-08-28T04:19:59.579+00:00,2026-08-28T04:20:01.310+00:00,2026-08-28T04:20:02.185+00:00,2026-08-28T04:20:02.766+00:00,2026-08-28T04:20:15.101+00:00,2026-08-28T04:20:09.275+00:00,2026-08-28T04:20:09.277+00:00,2026-08-28T04:20:09.382+00:00,2026-08-28T04:20:15.104+00:00,2026-08-28T04:20:15.104+00:00,2026-08-28T04:20:16.405+00:00,2026-08-28T04:20:16.407+00:00,2026-08-28T04:20:16.771+00:00,2026-08-28T04:20:16.771+00:00,2026-08-28T04:20:18.296+00:00,2026-08-28T04:20:18.659+00:00,2026-08-28T04:20:19.661+00:00,2026-08-28T04:20:19.661+00:00,2026-08-28T04:20:19.661+00:00,2026-08-28T04:20:19.662+00:00,2026-08-28T04:20:29.685+00:00,2026-08-28T04:20:29.685+00:00,2026-08-28T04:20:31.454+00:00,N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),2026-08-28T04:20:31.456+00:00,2026-08-28T04:20:31.461+00:00,2026-08-28T04:20:31.461+00:00,2026-08-28T04:20:31.478+00:00,582,583,643,644,0.5810050800209865,12.334635097999126,0.002693196991458535,13.428355242009275,1.7314387319493107,1.3015904549974948,0.36402856605127454,1.5235380320227705,1.0016520339995623,0.0003136470331810415,10.022486536006909,1.7689385970006697,0.005628654034808278,0.0352656880277209,0.7397485568653792,31.887719051970635,False
5,5,5,2026-08-28T04:20:31.478+00:00,2026-08-28T04:20:31.481+00:00,2026-08-28T04:20:31.517+00:00,2026-08-28T04:20:32.387+00:00,2026-08-28T04:20:32.979+00:00,2026-08-28T04:20:45.381+00:00,2026-08-28T04:20:39.553+00:00,2026-08-28T04:20:39.553+00:00,2026-08-28T04:20:39.655+00:00,2026-08-28T04:20:45.386+00:00,2026-08-28T04:20:45.386+00:00,2026-08-28T04:20:46.633+00:00,2026-08-28T04:20:46.634+00:00,2026-08-28T04:20:46.997+00:00,2026-08-28T04:20:46.997+00:00,2026-08-28T04:20:48.523+00:00,2026-08-28T04:20:48.887+00:00,2026-08-28T04:20:49.887+00:00,2026-08-28T04:20:49.887+00:00,2026-08-28T04:20:49.888+00:00,2026-08-28T04:20:49.889+00:00,2026-08-28T04:20:59.927+00:00,2026-08-28T04:20:59.927+00:00,2026-08-28T04:21:01.724+00:00,N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),2026-08-28T04:21:01.726+00:00,2026-08-28T04:21:01.729+00:00,2026-08-28T04:21:01.730+00:00,2026-08-28T04:21:01.742+00:00,714,715,775,776,0.5919171060086228,12.401969406986609,0.004970619978848845,13.503384430950973,0.035809513996355236,1.2468446679995395,0.36297738301800564,1.5259231929667294,1.0007074299501255,0.0001232770155183971,10.037138835003134,1.7968503820011392,0.004509267921093851,0.016811480978503823,0.7363846782245673,30.25065305904718,False
4,6,6,2026-08-28T04:21:01.742+00:00,2026-08-28T04:21:01.745+00:00,2026-08-28T04:21:01.747+00:00,2026-08-28T04:21:02.615+00:00,2026-08-28T04:21:03.206+00:00,2026-08-28T04:21:13.655+00:00,2026-08-28T04:21:09.750+00:00,2026-08-28T04:21:09.751+00:00,2026-08-28T04:21:09.855+00:00,2026-08-28T04:21:13.658+00:00,2026-08-28T04:21:13.658+00:00,2026-08-28T04:21:14.958+00:00,2026-08-28T04:21:14.960+00:00,2026-08-28T04:21:15.325+00:00,2026-08-28T04:21:15.325+00:00,2026-08-28T04:21:16.849+00:00,2026-08-28T04:21:17.213+00:00,2026-08-28T04:21:18.214+00:00,2026-08-28T04:21:18.214+00:00,2026-08-28T04:21:18.214+00:00,2026-08-28T04:21:18.215+00:00,2026-08-28T04:21:28.270+00:00,2026-08-28T04:21:28.270+00:00,2026-08-28T04:21:30.039+00:00,N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),2026-08-28T04:21:30.042+00:00,2026-08-28T04:21:30.044+00:00,2026-08-28T04:21:30.045+00:00,2026-08-28T04:21:30.059+00:00,848,849,909,910,0.5911900419741869,10.44871448900085,0.0029650499927811325,11.548692563024815,0.0014615890104323626,1.3004073870251887,0.36477810802171007,1.5235328639973886,1.0004559570224956,9.087001672014594e-05,10.054973089019768,1.7692537850234658,0.0044599370448850095,0.012032513972371817,0.7348578728269786,28.302964022033848,False
7,7,7,2026-08-28T04:21:30.059+00:00,2026-08-28T04:21:30.063+00:00,2026-08-28T04:21:30.073+00:00,2026-08-28T04:21:30.941+00:00,2026-08-28T04:21:31.532+00:00,2026-08-28T04:21:43.928+00:00,2026-08-28T04:21:38.064+00:00,2026-08-28T04:21:38.065+00:00,2026-08-28T04:21:38.170+00:00,2026-08-28T04:21:43.943+00:00,2026-08-28T04:21:43.943+00:00,2026-08-28T04:21:45.177+00:00,2026-08-28T04:21:45.179+00:00,2026-08-28T04:21:45.541+00:00,2026-08-28T04:21:45.541+00:00,2026-08-28T04:21:47.066+00:00,2026-08-28T04:21:47.430+00:00,2026-08-28T04:21:48.431+00:00,2026-08-28T04:21:48.431+00:00,2026-08-28T04:21:48.431+00:00,2026-08-28T04:21:48.432+00:00,2026-08-28T04:21:58.472+00:00,2026-08-28T04:21:58.472+00:00,2026-08-28T04:22:00.265+00:00,N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),2026-08-28T04:22:00.268+00:00,2026-08-28T04:22:00.270+00:00,2026-08-28T04:22:00.272+00:00,2026-08-28T04:22:00.285+00:00,962,963,1024,1025,0.5911781049799174,12.396676794975065,0.01407284801825881,13.50662249099696,0.009792243014089763,1.2339813979924656,0.36245241400320083,1.5246671250206418,1.0009874480310827,0.00014435203047469258,10.03976395499194,1.7926894960110076,0.004124569008126855,0.01350025599822402,0.7363793989061378,30.21160489000613,False
8,8,8,2026-08-28T04:22:00.285+00:00,2026-08-28T04:22:00.288+00:00,2026-08-28T04:22:00.289+00:00,2026-08-28T04:22:01.154+00:00,2026-08-28T04:22:01.747+00:00,2026-08-28T04:22:10.338+00:00,2026-08-28T04:22:08.323+00:00,2026-08-28T04:22:08.324+00:00,2026-08-28T04:22:08.427+00:00,2026-08-28T04:22:10.343+00:00,2026-08-28T04:22:10.343+00:00,2026-08-28T04:22:11.615+00:00,2026-08-28T04:22:11.616+00:00,2026-08-28T04:22:11.980+00:00,2026-08-28T04:22:11.980+00:00,2026-08-28T04:22:13.504+00:00,2026-08-28T04:22:13.874+00:00,2026-08-28T04:22:14.875+00:00,2026-08-28T04:22:14.875+00:00,2026-08-28T04:22:14.876+00:00,2026-08-28T04:22:14.879+00:00,2026-08-28T04:22:24.918+00:00,2026-08-28T04:22:24.918+00:00,2026-08-28T04:22:26.728+00:00,N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),2026-08-28T04:22:26.730+00:00,2026-08-28T04:22:26.732+00:00,2026-08-28T04:22:26.733+00:00,2026-08-28T04:22:26.747+00:00,1095,1096,1157,1158,0.5931522559840232,8.591097077995073,0.004255179024767131,9.691122003016062,0.0012486099731177092,1.2718923469656147,0.36474862101022154,1.5234557850053534,1.0015513009857386,0.0006953140255063772,10.038425541017205,1.8100355900241993,0.005893160006962717,0.012839870993047953,0.7388936439529061,26.447961915982887,False
9,9,9,2026-08-28T04:22:26.746+00:00,2026-08-28T04:22:26.750+00:00,2026-08-28T04:22:28.621+00:00,2026-08-28T04:22:29.504+00:00,2026-08-28T04:22:30.083+00:00,2026-08-28T04:22:40.496+00:00,2026-08-28T04:22:36.611+00:00,2026-08-28T04:22:36.611+00:00,2026-08-28T04:22:36.714+00:00,2026-08-28T04:22:40.497+00:00,2026-08-28T04:22:40.497+00:00,2026-08-28T04:22:41.839+00:00,2026-08-28T04:22:41.840+00:00,2026-08-28T04:22:42.202+00:00,2026-08-28T04:22:42.203+00:00,2026-08-28T04:22:43.726+00:00,2026-08-28T04:22:44.092+00:00,2026-08-28T04:22:45.093+00:00,2026-08-28T04:22:45.093+00:00,2026-08-28T04:22:45.094+00:00,2026-08-28T04:22:45.095+00:00,2026-08-28T04:22:55.104+00:00,2026-08-28T04:22:55.104+00:00,2026-08-28T04:22:56.912+00:00,N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),N/D (inside SDRCapture.capture),2026-08-28T04:22:56.915+00:00,2026-08-28T04:22:56.917+00:00,2026-08-28T04:22:56.918+00:00,,1191,1192,1252,1253,0.5787730209995061,10.412600348005071,0.0010403880150988698,11.50657999899704,1.8704412130173296,1.3422268040012568,0.36222748999716714,1.5231294119730592,1.001351858023554,0.0002894990029744804,10.009012166003231,1.807500609953422,0.004150904074776918,0.013094188005197793,0.7435038509429432,30.170413805986755,False
